"";"X";"Project";"Year";"Location";"Trap";"Intervall2";"timepoint";"ID";"Intervall";"Fangtage";"species";"sex";"number";"sella_score"
"1";1;"NE";21;3;"PR";"J";"2459524";"NE.21.3.PR.J.2459524";"daily";3;"0";"";0;"0"
"2";5;"NE";21;27;"PR";"J";"2459436";"NE.21.27.PR.J.2459436";"daily";1;"Cx. pipiens s.l.";"female";10;"0"
"3";6;"NE";21;27;"PR";"J";"2459436";"NE.21.27.PR.J.2459436";"daily";1;"Culicidae";"female";3;"0"
"4";7;"NE";21;3;"PR";"K";"51";"NE.21.3.PR.K.51";"weekly";3;"0";"0";0;"0"
"5";11;"NE";21;3;"PR";"J";"2459520";"NE.21.3.PR.J.2459520";"daily";1;"0";"0";0;"0"
"6";12;"NE";21;3;"PR";"J";"2459515";"NE.21.3.PR.J.2459515";"daily";1;"0";"0";0;"0"
"7";13;"NE";21;3;"PR";"K";"48";"NE.21.3.PR.K.48";"weekly";2;"0";"0";0;"0"
"8";14;"NE";21;3;"PR";"K";"47";"NE.21.3.PR.K.47";"weekly";1;"0";"0";0;"0"
"9";15;"NE";21;3;"PR";"J";"2459499";"NE.21.3.PR.J.2459499";"daily";1;"Cx. pipiens s.l.";"female";2;"0"
"10";16;"NE";21;3;"PR";"J";"2459523";"NE.21.3.PR.J.2459523";"daily";1;"0";"0";0;"0"
"11";17;"NE";21;3;"PR";"K";"46";"NE.21.3.PR.K.46";"weekly";1;"0";"0";0;"0"
"12";27;"NE";21;3;"PR";"J";"2459507";"NE.21.3.PR.J.2459507";"daily";1;"0";"0";0;"0"
"13";28;"NE";21;27;"PR";"J";"2459464";"NE.21.27.PR.J.2459464";"daily";1;"Cx. pipiens s.l.";"female";4;"0"
"14";29;"NE";21;27;"PR";"J";"2459464";"NE.21.27.PR.J.2459464";"daily";1;"Cx. pipiens s.l.";"female";4;"7"
"15";30;"NE";21;27;"PR";"J";"2459464";"NE.21.27.PR.J.2459464";"daily";1;"Ae. vexans";"female";1;"0"
"16";31;"NE";21;3;"PR";"J";"2459516";"NE.21.3.PR.J.2459516";"daily";1;"0";"0";0;"0"
"17";32;"NE";21;3;"PR";"J";"2459517";"NE.21.3.PR.J.2459517";"daily";3;"Cx. pipiens s.l.";"female";1;"0"
"18";33;"NE";21;3;"PR";"J";"2459517";"NE.21.3.PR.J.2459517";"daily";3;"Culicidae";"female";1;"0"
"19";34;"NE";21;3;"PR";"J";"2459517";"NE.21.3.PR.J.2459517";"daily";3;"0";"0";0;"0"
"20";36;"NE";21;3;"PR";"J";"2459500";"NE.21.3.PR.J.2459500";"daily";1;"0";"0";0;"0"
"21";38;"NE";21;3;"PR";"J";"2459513";"NE.21.3.PR.J.2459513";"daily";0;"0";"0";0;"0"
"22";39;"NE";21;3;"PR";"J";"2459501";"NE.21.3.PR.J.2459501";"daily";1;"0";"0";0;"0"
"23";40;"NE";21;3;"PR";"K";"45";"NE.21.3.PR.K.45";"daily";7;"0";"0";0;"0"
"24";41;"NE";21;3;"PR";"J";"2459503";"NE.21.3.PR.J.2459503";"daily";3;"Cx. pipiens s.l.";"female";9;"0"
"25";42;"NE";21;3;"PR";"J";"2459502";"NE.21.3.PR.J.2459502";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"26";43;"NE";21;3;"PR";"J";"2459502";"NE.21.3.PR.J.2459502";"daily";1;"Ae. vexans";"female";1;"0"
"27";44;"NE";21;3;"PR";"J";"2459506";"NE.21.3.PR.J.2459506";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"28";45;"NE";21;3;"PR";"J";"2459509";"NE.21.3.PR.J.2459509";"daily";1;"0";"0";0;"0"
"29";47;"NE";21;3;"PR";"J";"2459508";"NE.21.3.PR.J.2459508";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"30";51;"NE";21;3;"PR";"K";"50";"NE.21.3.PR.K.50";"weekly";7;"Cx. pipiens s.l.";"female";2;"0"
"31";52;"NE";21;27;"PR";"J";"2459433";"NE.21.27.PR.J.2459433";"daily";1;"Cx. pipiens s.l.";"female";5;"0"
"32";53;"NE";21;27;"PR";"J";"2459433";"NE.21.27.PR.J.2459433";"daily";1;"Culicidae";"female";1;"0"
"33";54;"NE";21;27;"PR";"J";"2459435";"NE.21.27.PR.J.2459435";"daily";1;"Cx. pipiens s.l.";"female";22;"0"
"34";55;"NE";21;27;"PR";"J";"2459435";"NE.21.27.PR.J.2459435";"daily";1;"An. plumbeus";"female";1;"0"
"35";56;"NE";21;27;"PR";"J";"2459435";"NE.21.27.PR.J.2459435";"daily";1;"Culicidae";"female";1;"0"
"36";57;"NE";21;27;"PR";"J";"2459435";"NE.21.27.PR.J.2459435";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"37";58;"NE";21;27;"PR";"J";"2459434";"NE.21.27.PR.J.2459434";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"38";59;"NE";21;27;"PR";"J";"2459434";"NE.21.27.PR.J.2459434";"daily";1;"Cx. pipiens s.l.";"female";7;"0"
"39";60;"NE";21;27;"PR";"J";"2459434";"NE.21.27.PR.J.2459434";"daily";1;"Cx. spec.";"female";3;"0"
"40";61;"NE";21;27;"PR";"J";"2459434";"NE.21.27.PR.J.2459434";"daily";1;"Cx. pipiens s.l.";"female";1;"7"
"41";62;"NE";21;27;"PR";"J";"2459434";"NE.21.27.PR.J.2459434";"daily";1;"Ae. vexans";"female";1;"0"
"42";63;"NE";21;27;"PR";"J";"2459433";"NE.21.27.PR.J.2459433";"daily";1;"Culicidae";"female";1;"0"
"43";64;"NE";21;27;"PR";"J";"2459433";"NE.21.27.PR.J.2459433";"daily";1;"Cx. pipiens s.l.";"female";1;"0"
"44";65;"NE";21;16;"PG";"K";"30";"NE.21.16.PG.K.30";"weekly";1;"Cx. pipiens s.l.";"female";7;"0"
"45";66;"NE";21;16;"PG";"K";"30";"NE.21.16.PG.K.30";"weekly";1;"Ae. spec.";"female";3;"0"
"46";67;"NE";21;16;"PG";"K";"30";"NE.21.16.PG.K.30";"weekly";1;"Cx. pipiens s.l.";"female";4;"7"
"47";68;"NE";21;16;"PG";"K";"30";"NE.21.16.PG.K.30";"weekly";1;"Culicidae";"female";3;"0"
"48";70;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"49";71;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"50";72;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"51";73;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"52";74;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";25;"0"
"53";75;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Ae. vexans";"female";1;"0"
"54";76;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";10;"7"
"55";77;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cs. annulata";"female";2;"0"
"56";78;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. pipiens s.l.";"female";2;"0"
"57";79;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. spec.";"female";25;"0"
"58";80;"NE";21;3;"PG";"J";"2459412";"NE.21.3.PG.J.2459412";"daily";3;"Cx. spec.";"female";12;"0"
"59";81;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";25;"0"
"60";82;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Cx. pipiens s.l.";"female";13;"0"
"61";83;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Cx. spec.";"female";18;"0"
"62";84;"NE";21;3;"PG";"J";"2459417";"NE.21.3.PG.J.2459417";"daily";1;"Culicidae";"female";1;"0"
